frame 57, TPS: 30.371, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 58, TPS: 30.371, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 59, TPS: 30.371, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 60, TPS: 30.371, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 61, TPS: 30.371, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 62, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 29
frame 63, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 29
frame 64, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 29
frame 65, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 29
frame 66, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 29
frame 67, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 29
frame 68, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 29
frame 69, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 29
frame 70, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 29
frame 71, TPS: 29.648, Updating took: 2, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 72, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 73, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 74, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 75, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 76, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 77, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 78, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
